CSpd RSpd
6.9 5.9666
7.1 7.2176
7.8 7.9405
6.9 6.0174
5.5 6.1646
3.1 1.7687
6.8 4.6471
11.4 10.8734
12.9 11.7198
13.5 13.0118
9.6 6.3998
8 8.2706
8.3 8.3522
8.8 7.9027
6.1 6.7136
8.4 9.6341
8.5 8.7918
9.6 10.2506
10.4 10.8894
10 7.6393
10.6 8.2217
8.9 7.482
9.4 9.2628
8.8 4.8476
6.1 4.4194
13.5 11.3922
11.5 10.6574
9.9 9.2053
10.5 11.2537
11.7 13.2537
11.2 8.6108
13.5 13.8014
13 10.8876
13.7 16.5845
11.9 9.5704
8.9 11.346
7.8 10.9086
10.5 11.7165
12 11.4775
9.4 8.4952
7.5 5.7006
9 10.6961
7.6 6.0895
10.9 12.5194
16.4 16.9452
15.9 14.7786
11.3 11.6801
6.8 3.4453
8.7 10.0276
4.7 6.2754
4.2 8.2301
5.3 10.6847
9.7 15.662
9.9 14.9993
12 15.7002
13.9 14.3144
15.2 13.261
13.2 13.4437
8.2 7.8656
4.3 2.2458
0.9 1.7095
5.5 7.2095
8.7 8.5995
9.5 10.1866
8.7 8.4313
6.6 6.6694
7.5 4.7395
9.5 7.8583
5.4 4.9624
6.1 2.1926
8.7 9.201
7.3 5.5414
10.3 9.6968
13.2 11.3499
13.8 12.0974
5.2 2.2668
9.7 4.9634
7.2 7.7435
8 6.9884
5.3 5.3076
9 7.5679
11 10.1576
11 13.7039
7 10.2847
11.9 7.63
9.7 10.9825
7.8 8.7266
6.9 12.7467
6.6 8.0597
7.7 5.881
3.4 2.1562
6.1 4.201
9.2 10.8945
12.6 14.3881
16.1 14.2931
11.9 8.1352
15.7 15.8288
13.1 14.89
10.2 9.917
4.3 3.5504
7.5 3.9581
4.8 12.4998
4.4 3.0049
8.2 2.2797
7 4.4027
6.3 3.2324
8.5 8.8961
10.3 10.1121
7.4 6.0038
9.4 8.9022
6.6 5.7098
10 9.1971
5.7 4.7037
5.8 5.121
2.1 5.3808
4.2 3.2446
6.1 8.027
4.6 5.4111
6.7 1.5631
7.6 6.4006
2.2 5.4079
4.6 3.1232
3.3 1.7456
5.8 3.5089
3.7 5.5103
6.8 4.7686
8.4 4.6667
10.4 9.5266
9.2 7.2174
11.9 11.9274
9.7 6.7603
10.7 11.6778
6.9 2.3004
3.9 3.0057
5.5 6.1977
9.6 9.0248
9.8 6.9864
4.7 5.5852
9.2 7.9898
4.6 7.9119
8.5 3.8551
10 10.3185
12.5 12.5113
9.1 9.9446
15.3 12.6725
