Precip Runoff
6.47 54235
10.26 67567
11.35 66161
11.13 68094
22.81 107080
7.41 67594
13.32 65356
9.8 67909
17.42 92715
8.25 70024
17.48 99216
9.56 55786
7.65 46153
9 47947
17.68 76877
15.53 88443
8.2 54634
13.29 78806
12.56 56542
23.66 116244
8.28 60857
33.07 146345
11 73726
10.82 65530
8.06 60772
15.86 91696
16.42 87377
12.56 77306
4.73 44756
4.6 41785
21.94 112653
13.88 79975
23.78 106821
12.14 69177
19.45 120463
23.86 135043
14.42 102001
13.06 77790
26.46 118144
6.36 61229
9.88 58942
9.58 53965
8.41 49774
